Unnamed: 0,date,date_of_week,transaction_type,category,sub_category,amount,currency,note,Date
0.0,2021-01-01,Friday,Assets,Wallet,Cash,588200,VND, Lots of money track loss,2021-01-01
1.0,2021-01-01,Friday,Assets,Card,VISA,621577,VND, Lots of money track loss,2021-01-01
2.0,2021-01-01,Friday,Assets,Card,ACB,7290227,VND, Lots of money track loss,2021-01-01
3.0,2021-01-01,Friday,Assets,eWallet,MOCA,2500,VND, Lots of money track loss,2021-01-01
4.0,2021-01-01,Friday,Equity,Balance,Opening Balances,-8502504,VND, Lots of money track loss,2021-01-01
5.0,2021-01-03,Sunday,Expenses,Food,Breakfast,20000,VND,,2021-01-03
6.0,2021-01-03,Sunday,Assets,Wallet,Cash,-20000,VND,,2021-01-03
7.0,2021-01-07,Thursday,Expenses,Travel,Dalat 01/2021,1514000,VND,,2021-01-07
8.0,2021-01-07,Thursday,Assets,Card,ACB,-1514000,VND,,2021-01-07
16.0,2021-01-08,Friday,Assets,Card,ACB,-2141600,VND,,2021-01-08
15.0,2021-01-08,Friday,Expenses,Drink,Soda,10600,VND,,2021-01-08
14.0,2021-01-08,Friday,Expenses,Food,Eating Out,31000,VND,,2021-01-08
13.0,2021-01-08,Friday,Assets,Wallet,Cash,-60000,VND,,2021-01-08
9.0,2021-01-08,Friday,Income,Fulbright,Allowance,2100000,VND,,2021-01-08
11.0,2021-01-08,Friday,Expenses,Drink,Drink,10000,VND, sữa đậu nành,2021-01-08
10.0,2021-01-08,Friday,Expenses,Food,Breakfast,40000,VND, bún mắm,2021-01-08
12.0,2021-01-08,Friday,Expenses,Transportation,Repairs,10000,VND,,2021-01-08
21.0,2021-01-09,Saturday,Assets,Card,ACB,-450000,VND,,2021-01-09
20.0,2021-01-09,Saturday,Expenses,Education,Books,450000,VND,,2021-01-09
19.0,2021-01-09,Saturday,Assets,Wallet,Cash,-37000,VND,,2021-01-09
18.0,2021-01-09,Saturday,Expenses,Personal,Stuffs,31000,VND,,2021-01-09
17.0,2021-01-09,Saturday,Expenses,Transportation,Bus,6000,VND,,2021-01-09
22.0,2021-01-10,Sunday,Expenses,Transportation,Bus,6000,VND,,2021-01-10
23.0,2021-01-10,Sunday,Assets,Wallet,Cash,-6000,VND,,2021-01-10
28.0,2021-01-11,Monday,Expenses,Household Items,Miscellaneous,16000,VND,,2021-01-11
27.0,2021-01-11,Monday,Expenses,Drink,Juice,19300,VND,,2021-01-11
29.0,2021-01-11,Monday,Expenses,Food,Instant Noodles,21900,VND,,2021-01-11
25.0,2021-01-11,Monday,Expenses,Transportation,Parking Fees,5000,VND,,2021-01-11
24.0,2021-01-11,Monday,Expenses,Food,Delivery,62000,VND,,2021-01-11
26.0,2021-01-11,Monday,Assets,Wallet,Cash,-124200,VND,,2021-01-11
30.0,2021-01-12,Tuesday,Expenses,Food,Afternoon Snack,13000,VND,,2021-01-12
31.0,2021-01-12,Tuesday,Expenses,Transportation,Parking Fees,5000,VND,,2021-01-12
32.0,2021-01-12,Tuesday,Assets,Wallet,Cash,-18000,VND,,2021-01-12
33.0,2021-01-12,Tuesday,Income,Part-time Jobs,Lasluz,-390000,VND,,2021-01-12
34.0,2021-01-12,Tuesday,Assets,Card,ACB,390000,VND,,2021-01-12
35.0,2021-01-13,Wednesday,Expenses,Transportation,Parking Fees,10000,VND,,2021-01-13
36.0,2021-01-13,Wednesday,Assets,Wallet,Cash,-10000,VND,,2021-01-13
42.0,2021-01-14,Thursday,Expenses,Food,Ready Lunch,35000,VND,,2021-01-14
43.0,2021-01-14,Thursday,Expenses,Transportation,Parking Fees,15000,VND,,2021-01-14
41.0,2021-01-14,Thursday,Expenses,Transportation,Gas,50000,VND,,2021-01-14
44.0,2021-01-14,Thursday,Assets,Wallet,Cash,160000,VND,,2021-01-14
39.0,2021-01-14,Thursday,Expenses,Drink,Water,24000,VND,,2021-01-14
38.0,2021-01-14,Thursday,Expenses,Fees,Withdrawal Fees,1100,VND,,2021-01-14
37.0,2021-01-14,Thursday,Assets,Card,ACB,-301100,VND,,2021-01-14
40.0,2021-01-14,Thursday,Expenses,Food,Afternoon Snack,16000,VND,,2021-01-14
45.0,2021-01-15,Friday,Expenses,Transportation,Parking Fees,5000,VND,,2021-01-15
46.0,2021-01-15,Friday,Assets,Wallet,Cash,-5000,VND,,2021-01-15
47.0,2021-01-16,Saturday,Expenses,Transportation,Repairs,300000,VND,,2021-01-16
48.0,2021-01-16,Saturday,Expenses,Food,Breakfast,10000,VND,,2021-01-16
49.0,2021-01-16,Saturday,Expenses,Food,Eating Out,170000,VND,,2021-01-16
50.0,2021-01-16,Saturday,Assets,Card,ACB,-170000,VND,,2021-01-16
51.0,2021-01-16,Saturday,Assets,Wallet,Cash,-310000,VND,,2021-01-16
57.0,2021-01-17,Sunday,Assets,Wallet,Cash,-220000,VND,,2021-01-17
56.0,2021-01-17,Sunday,Expenses,Transportation,Parking Fees,10000,VND,,2021-01-17
55.0,2021-01-17,Sunday,Expenses,Education,Printing,133000,VND,,2021-01-17
53.0,2021-01-17,Sunday,Expenses,Food,Sandwich,12000,VND,,2021-01-17
52.0,2021-01-17,Sunday,Expenses,Food,Breakfast,25000,VND,,2021-01-17
54.0,2021-01-17,Sunday,Expenses,Food,Lunch,40000,VND,,2021-01-17
58.0,2021-01-18,Monday,Expenses,Food,Dinner,30000,VND,,2021-01-18
59.0,2021-01-18,Monday,Assets,Wallet,Cash,-30000,VND,,2021-01-18
60.0,2021-01-18,Monday,Income,Fulbright,TA,-427500,VND,,2021-01-18
61.0,2021-01-18,Monday,Assets,Card,ACB,427500,VND,,2021-01-18
71.0,2021-01-19,Tuesday,Expenses,Drink,Soda,12000,VND,,2021-01-19
76.0,2021-01-19,Tuesday,Expenses,Education,Books,219680,VND,,2021-01-19
75.0,2021-01-19,Tuesday,Assets,Card,ACB,-822262,VND, RIVER CITY a nurse's year in Vietnam\n When Heaven and Earth Changed Places,2021-01-19
